,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
252,1,0,0,6,0,1581.0,24,0.05692599620493359,0.0,0.0,0.3415559772296015,0,Diego Llorente,Spain
253,1,0,0,0,0,45.0,1,2.0,0.0,0.0,0.0,2,Guido Pizarro,Argentina
254,1,0,0,1,0,976.0,16,0.09221311475409837,0.0,0.0,0.09221311475409837,0,Sergio Escudero,Spain
255,1,0,0,1,0,256.0,3,0.3515625,0.0,0.0,0.3515625,0,Franco Vázquez,Argentina
256,6,6,0,7,0,2081.0,23,0.25949062950504564,0.25949062950504564,0.0,0.3027390677558866,0,Pablo Sarabia,Spain
257,8,2,0,3,0,1386.0,21,0.5194805194805194,0.12987012987012986,0.0,0.19480519480519481,0,Willian José,Brazil
258,0,2,0,0,0,90.0,2,0.0,2.0,0.0,0.0,0,Wissam Ben Yedder,France
259,7,6,0,5,0,1588.0,24,0.3967254408060453,0.34005037783375314,0.0,0.28337531486146095,0,Nolito,Spain
260,0,0,0,1,0,363.0,6,0.0,0.0,0.0,0.24793388429752067,0,Zakaria Bakkali,Belgium
261,2,0,0,5,0,675.0,15,0.26666666666666666,0.0,0.0,0.6666666666666667,0,Raúl Albentosa,Spain
262,2,2,0,1,0,931.0,13,0.19334049409237378,0.19334049409237378,0.0,0.09667024704618689,0,Fede Cartabia,Argentina
263,0,0,0,3,0,720.0,16,0.0,0.0,0.0,0.375,0,Rubén Martínez,Spain
264,14,6,0,2,0,2651.0,32,0.4752923425122595,0.2036967182195398,0.0,0.06789890607317993,0,Lucas Pérez,Spain
265,0,1,0,7,0,1851.0,26,0.0,0.04862236628849271,0.0,0.34035656401944897,0,Pedro Mosquera,Spain
266,0,0,0,2,0,448.0,9,0.0,0.0,0.0,0.40178571428571425,0,Luisinho,Portugal
267,3,2,0,0,0,988.0,10,0.2732793522267207,0.18218623481781376,0.0,0.0,0,Adrián López,Spain
268,2,0,0,5,0,929.0,11,0.193756727664155,0.0,0.0,0.48439181916038754,0,Álvaro Medrán,Spain
269,0,0,0,1,0,311.0,5,0.0,0.0,0.0,0.28938906752411575,0,Alfonso Pedraza,Spain
